trial_name,trial_id,controller_name,time,step_count,absolute_mechanical_work,active_contact_count,base_acceleration_magnitude,completion_time,forward_progress,grasp_full_wrench_rank,grasp_isotropy,lateral_drift_abs,maximum_friction_ratio,maximum_joint_limit_utilisation,maximum_leg_effort_utilisation,minimum_grasp_singular_value,normal_drift_abs,normalised_load_share_entropy,rung_advancement,slipping_contact_count,successful_regrasp_count,task_success
gait_trial_1,1,gait,0.0960000000,48,289.5306526927,0,12.0546064956,,0.2041935756,False,0.0000000000,0.1662779779,0.0000000000,0.5586819612,1.0000000000,0.0000000000,0.0224394457,0.0000000000,0,0,0,False
gait_trial_1,1,gait,0.0980000000,49,291.1825623910,0,12.6726689035,,0.2082179093,False,0.0000000000,0.1698504920,0.0000000000,0.5365579496,1.0000000000,0.0000000000,0.0225623043,0.0000000000,0,0,0,False
gait_trial_1,1,gait,0.1000000000,50,292.7490938682,0,14.5211515478,,0.2122404652,False,0.0000000000,0.1734324998,0.0000000000,0.5173482760,1.0000000000,0.0000000000,0.0227396279,0.0000000000,0,0,0,False
gait_trial_1,1,gait,0.1020000000,51,294.2404159348,0,14.1252269868,,0.2162620805,False,0.0000000000,0.1770232743,0.0000000000,0.5053173280,1.0000000000,0.0000000000,0.0229697858,0.0000000000,0,0,0,False
gait_trial_1,1,gait,0.1040000000,52,295.6663502828,0,13.6803724437,,0.2202834838,False,0.0000000000,0.1806221883,0.0000000000,0.4927876527,1.0000000000,0.0000000000,0.0232509580,0.0000000000,0,0,0,False
gait_trial_1,1,gait,0.1060000000,53,297.0471763434,0,13.1991850967,,0.2243053063,False,0.0000000000,0.1842286764,0.0000000000,0.4797632869,1.0000000000,0.0000000000,0.0235812012,0.0000000000,0,0,0,False
gait_trial_1,1,gait,0.1080000000,54,298.3908966070,0,12.6843933123,,0.2283281312,False,0.0000000000,0.1878421961,0.0000000000,0.4726333743,1.0000000000,0.0000000000,0.0239584628,0.0000000000,0,0,0,False
gait_trial_1,1,gait,0.1100000000,55,299.7020465138,0,12.1359391431,,0.2323525213,False,0.0000000000,0.1914622099,0.0000000000,0.4719772329,1.0000000000,0.0000000000,0.0243805800,0.0000000000,0,0,0,False
gait_trial_1,1,gait,0.1120000000,56,300.9840510739,0,11.5818216815,,0.2363789267,False,0.0000000000,0.1950882417,0.0000000000,0.4713591380,1.0000000000,0.0000000000,0.0248453914,0.0000000000,0,0,0,False
gait_trial_1,1,gait,0.1140000000,57,302.2401136326,0,11.0272194045,,0.2404076700,False,0.0000000000,0.1987198792,0.0000000000,0.4707727641,1.0000000000,0.0000000000,0.0253507595,0.0000000000,0,0,0,False
